song,artist
Image Of A Girl,Various Artists
Kiddio,Brook Benton
Mission Bell,Donnie Brooks
I Love the Way You Love,Marv Johnson
It's Time To Cry,Paul Anka et son orchestre
Tell Laura I Love Her,Ray Peterson
Mama,Connie Francis
Footsteps,Steve Lawrence
So Sad (To Watch Good Love Go Bad) - Remastered Version,The Everly Brothers
That's All You Gotta Do,Brenda Lee
Walking To New Orleans - Remastered,Fats Domino
Among My Souvenirs,Connie Francis
Swingin' School,Bobby Rydell
A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington
Stairway to Heaven - Remastered,Neil Sedaka
My Home Town,Paul Anka
Georgia On My Mind,Ray Charles
Cherry Pie,Skip & Flip
(What A) Wonderful World - Remastered,Sam Cooke
Lady Luck,Lloyd Price
Step By Step,The Crests
Happy Go Lucky Me,Paul Evans
Young Emotions - Remastered,Ricky Nelson
Dreamin',Johnny Burnette
Poetry In Motion,Johnny Tillotson
O Dio Mio,Annette
You Talk Too Much,Joe Jones
Beatnik Fly,Johnny & The Hurricanes
When Will I Be Loved,The Everly Brothers
Let's Think About Living,Bob Luman
Heartaches By The Number,Guy Mitchell
In My Little Corner Of The World,Anita Bryant
Doggin' Around,Jackie Wilson
Little Bitty Girl,Bobby Rydell
Money (That's What I Want) - Single Version / Mono,Barrett Strong
Stay,Maurice Williams & The Zodiacs
Lonely Weekends,Charlie Rich
Sandy,Various Artists
Bridge Over Troubled Water,Simon & Garfunkel
(They Long To Be) Close To You,Carpenters
American Woman,The Guess Who
Raindrops Keep Fallin' On My Head,B.J. Thomas
War,Edwin Starr
Ain't No Mountain High Enough,Diana Ross
I'll Be There,The Jackson 5
Get Ready,Rare Earth
Let It Be - Remastered 2015,The Beatles
Band Of Gold - Re-Record,Freda Payne
Joy To The World - Single Version,Three Dog Night
Maggie May - Remastered Version,Rod Stewart
Reason To Believe,Rod Stewart
It's Too Late,Carole King
I Feel the Earth Move,Carole King
One Bad Apple,The Osmonds
How Can You Mend A Broken Heart,Bee Gees
Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & The Raiders
Go Away Little Girl,Donny Osmond
"Take Me Home, Country Roads",John Denver
Just My Imagination (Running Away With Me),The Temptations
Knock Three Times,Tony Orlando & Dawn
The First Time Ever I Saw Your Face,Roberta Flack
Alone Again (Naturally),Gilbert O'Sullivan
American Pie,Don McLean
Without You,Harry Nilsson
The Candy Man,Sammy Davis Jr.
I GOTCHA,Joe Tex
Lean on Me,Bill Withers
Baby Don't Get Hooked on Me,Mac Davis
Brand New Key,Melanie
Daddy Don't You Walk So Fast,Wayne Newton
Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998,Tony Orlando & Dawn
"Bad, Bad Leroy Brown",Jim Croce
Killing Me Softly with His Song,Roberta Flack
Let's Get It On,Marvin Gaye
My Love - 2018 Remaster,Wings
Why Me,Kris Kristofferson
Crocodile Rock,Elton John
Will It Go Round In Circles,Billy Preston
You're so Vain,Carly Simon
Touch Me In The Morning,Diana Ross
The Way We Were,Barbra Streisand
Seasons in the Sun,Various Artists
Love's Theme,The Love Unlimited Orchestra
Come and Get Your Love - Single Version,Redbone
Dancing Machine,The Jackson 5
The Loco-Motion,Grand Funk Railroad
TSOP (The Sound of Philadelphia) (feat. The Three Degrees),MFSB
The Streak,Ray Stevens
Bennie And The Jets - Remastered 2014,Elton John
One Hell Of A Woman,Mac Davis
Love Will Keep Us Together,Captain & Tennille
Rhinestone Cowboy,Glen Campbell
Philadelphia Freedom,Elton John
Before The Next Teardrop Falls,Freddy Fender
My Eyes Adored You,Frankie Valli
Shining Star,"Earth, Wind & Fire"
Fame - 2016 Remaster,David Bowie
Laughter In The Rain,Neil Sedaka
One of These Nights - 2013 Remaster,Eagles
Thank God I'm a Country Boy,John Denver
Silly Love Songs - Remastered 2014,Wings
Don't Go Breaking My Heart,Elton John
Disco Lady,Johnnie Taylor
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons
Play That Funky Music,Wild Cherry
Kiss and Say Goodbye,The Manhattans
Love Machine,The Miracles
50 Ways to Leave Your Lover,Paul Simon
Love Is Alive,Gary Wright
A Fifth Of Beethoven,Various Artists
Tonight's the Night (Gonna Be Alright) - 2009 Remaster,Rod Stewart
I Just Want To Be Your Everything,Andy Gibb
Best of My Love,The Emotions
"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand
Angel in Your Arms - Single Version,Various Artists
I Like Dreamin',Kenny Nolan
Don't Leave Me This Way,Thelma Houston
(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge
Undercover Angel,Various Artists
Torn Between Two Lovers,Mary MacGregor
Shadow Dancing,Andy Gibb
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees
You Light Up My Life,Debby Boone
Stayin Alive,Bee Gees
Kiss You All Over,Exile
How Deep Is Your Love,Bee Gees
Baby Come Back,Groove Armada
(Love Is) Thicker Than Water,Andy Gibb
Boogie Oogie Oogie - Single Version 2 / Remastered 1999,A Taste Of Honey
Three Times A Lady,Commodores
My Sharona,The Knack
Bad Girls,Donna Summer
Le Freak - 2018 Remaster,CHIC
Do Ya Think I'm Sexy,Rod Stewart
Reunited,Peaches & Herb
I Will Survive - Single Version,Gloria Gaynor
Hot Stuff,Donna Summer
Y.M.C.A.,Village People
Physical (Glee Cast Version) (feat. Olivia Newton-John),Glee Cast
Hopelessly Devoted To You,Olivia Newton-John
Magic,Various Artists
Heart Attack,Olivia Newton-John
Bette Davis Eyes,Kim Carnes
Endless Love,Various Artists
Eye of the Tiger,Survivor
Every Breath You Take,The Police
What A Feeling,Irene Cara
Another One Bites The Dust - Remastered 2011,Queen
Say Say Say - Remastered 2015,Paul McCartney
Call Me (Theme From American Gigolo) - Remastered 2001,Blondie
Lady,Kenny Rogers
Centerfold,The J. Geils Band
(Just Like) Starting Over - Remastered 2010,John Lennon
I Love Rock 'N Roll,Joan Jett & The Blackhearts
Ebony And Ivory,Paul McCartney
"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",Dionne Warwick
Upside Down,Diana Ross
Billie Jean,Michael Jackson
Abracadabra,Steve Miller Band
"Say You, Say Me",Lionel Richie
All Night Long (All Night) - Single Version,Lionel Richie
Waiting for a Girl Like You,Various Artists
Hurts So Good,John Mellencamp
Another Day in Paradise - 2016 Remaster,Phil Collins
Do That To Me One More Time,Captain & Tennille
Like a Virgin,Madonna
When Doves Cry,Prince
Maneater,Daryl Hall & John Oates
"Another Brick in the Wall, Pt. 2",Pink Floyd
Faith - Remastered,George Michael
Crazy Little Thing Called Love,Queen
Total Eclipse of the Heart,Bonnie Tyler
Careless Whisper,Wham!
Walk Like an Egyptian,The Bangles
Don't You Want Me,The Human League
Jessie's Girl,Rick Springfield
Woman in Love,Barbra Streisand
Hard to Say I'm Sorry / Get Away - 2006 Remaster,Chicago
Miss You Much,Janet Jackson
Down Under,Men At Work
We Are the World,Various Artists
Jack & Diane,John Mellencamp
Jump,Van Halen
Islands In the Stream,Dolly Parton
Coming Up - Remastered 2011,Paul McCartney
Arthur's Theme (Best That You Can Do),Various Artists
Broken Wings,Mr. Mister
Alone,Heart
Can't Fight This Feeling,REO Speedwagon
Every Rose Has Its Thorn,Various Artists
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
I Can't Go for That (No Can Do),Daryl Hall & John Oates
Livin' On A Prayer,Bon Jovi
Money for Nothing,Dire Straits
On My Own,Patti LaBelle
Beat It,Michael Jackson
Crazy for You,Madonna
What's Love Got to Do with It,Tina Turner
Rock with You - Single Version,Michael Jackson
Separate Lives (Love Theme from White Nights),Various Artists
I Want to Know What Love Is - 1999 Remaster,Foreigner
It's Still Rock and Roll to Me,Billy Joel
Look Away,Chicago
Footloose,Kenny Loggins
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins
Roll With It,Steve Winwood
Straight Up,Paula Abdul
Everybody Wants To Rule The World,Tears For Fears
We Didn't Start the Fire,Billy Joel
Nothing's Gonna Stop Us Now,Starship
With Or Without You - Remastered,U2
The Power Of Love,Huey Lewis & The News
Greatest Love of All,Whitney Houston
I Just Called To Say I Love You,Stevie Wonder
La Bamba,Los Lobos
Funkytown,Various Artists
One More Try - Remastered,George Michael
Ghostbusters,Ray Parker Jr.
Gloria,Laura Branigan
Hello,Lionel Richie
Shout,Tears For Fears
Right Here Waiting,Richard Marx
Woman - Remastered 2010,John Lennon
Owner Of A Lonely Heart,Yes
Please Don't Go - Single Version,KC & The Sunshine Band
Lost in Your Eyes,Debbie Gibson
Need You Tonight,INXS
Harden My Heart,Quarterflash
Shake You Down,Gregory Abbott
We Built This City,Starship
Stuck With You,Huey Lewis & The News
Party All the Time,Eddie Murphy
Never Gonna Give You Up,Rick Astley
Sweet Child O' Mine,Guns N' Roses
Everytime You Go Away,Various Artists
Don't Know Much (with Aaron Neville),Various Artists
Got My Mind Set On You - Remastered 2004,George Harrison
How Am I Supposed to Live Without You,Michael Bolton
Opposites Attract,Paula Abdul
Escapade,Janet Jackson
Black Velvet,Alannah Myles
Love Will Lead You Back,Taylor Dayne
